Please select the most appropriate word for the blank below: The [BLANK] is the highest state organ of power in the People’s Republic of China (PRC).,National People’s Congress
Which of the following statements is/are true about the State Council of the People’s Republic of China (PRC)?It is the Central People’s Government.It is the highest executive and administrative state organ.It is directly led by the President of the PRC.,I and II
In which year was the Sino-British Joint Declaration signed?,1984
Which of the following is the legislature of the HKSAR?,The Legislative Council of the HKSAR
How many autonomous regions are there in the People’s Republic of China?,5
What is Chapter I of the Constitution of the People’s Republic of China about?,General principles
Please select the most appropriate word for the blank below: Constitution is the [BLANK] of a state.,supreme law
Which of the following statements is/are true about Chapter I of the Constitution of the People’s Republic of China (PRC)?The Chapter provides that all power in the PRC belongs to the people.The Chapter provides for the equality of all ethnic groups and that the state shall protect the lawful rights and interests of all ethnic minorities.The Chapter provides that the PRC shall practice law-based governance and build a socialist state under the rule of law.,All of the above
In which year was the Treaty of Nanking signed?,1842
Please select the most appropriate word for the blank below: China is a [BLANK].,unitary state
According to the Basic Law which institution shall appoint the Chief Executive and the principal officials of the executive authorities of the HKSAR?,The Central People’s Government
When was the present Constitution of the People’s Republic of China enacted?,1982
Please select the most appropriate word for the blank below: On 10 April 1985 a Drafting Committee was formed to draft the Basic Law of the HKSAR based on the principle of [BLANK].,“One Country Two Systems”
Please select the most appropriate word for the blank below: The [BLANK] system is the fundamental system of the People's Republic of China.,socialist
Which of the following statements is/are true about the National People’s Congress (NPC) and the National People’s Congress Standing Committee (NPCSC)?The NPC serves a 5-year term and generally meets in session once every year.The NPCSC is the permanent body of the NPC.The NPC and the NPCSC exercise legislative power of the state.,All of the above
When was the People’s Republic of China founded?,1 October 1949
Which of the following is a correct statement about constitutions of states?,Constitution has the highest legal status among all laws of a state.
Which of the following is/are features of the “One Country Two Systems” Principle? The HKSAR is authorized to exercise a high degree of autonomy and enjoy executive legislative and independent judicial power including that of final adjudication. After the establishment of the HKSAR the previous capitalist system and way of life in Hong Kong shall remain unchanged for 50 years. The Central People’s Government solely controls the housing policy of the HKSAR.,I and II only
How many special administrative regions are there in the People’s Republic of China?,2
Please select the most appropriate word for the blank below: The [BLANK] has the power of interpretation regarding the Basic Law of the HKSAR the power of decision on revising the selection methods of the Chief Executive and the Legislative Council of the HKSAR and the power of supervision over the laws formulated by the legislative organs of the HKSAR.,National People’s Congress Standing Committee
On what matters could the government of the HKSAR form its own policies? Social welfare Education Science and technology,All of the above
Which of the following aspect of affairs of the HKSAR falls within the responsibility of the Central People’s Government of the People’s Republic of China under the Basic Law?,Foreign affairs
Which of the following statement is correct about the Sino-British Joint Declaration?,It confirmed that the Chinese government would resume its exercise of sovereignty over Hong Kong with effect from 1 July 1997.
